Jday,emerge_date,line,rep,leaf,area_cm2,therm_time,emerge_therm_time,germ_dates,germ_therm_time,therm_time_adj,emerge_therm_time_adj
317,297,CC,2,3,38.69,16361.6030911408,6369.36911159583,288,1782.212276865,14579.3908142758,4587.15683473083
322,297,CC,2,3,34.77,18867.4119883759,6369.36911159583,288,1782.212276865,17085.1997115109,4587.15683473083
305,299,CC,2,4,3.11,10339.4587977758,7360.18988658917,288,1782.212276865,8557.24652091082,5577.97760972417
307,299,CC,2,4,8.12,11352.5835348158,7360.18988658917,288,1782.212276865,9570.3712579508,5577.97760972417
310,299,CC,2,4,23.1,12828.4880273992,7360.18988658917,288,1782.212276865,11046.2757505342,5577.97760972417
312,299,CC,2,4,30.82,13822.6696153242,7360.18988658917,288,1782.212276865,12040.4573384592,5577.97760972417
315,299,CC,2,4,33.18,15334.8716263725,7360.18988658917,288,1782.212276865,13552.6593495075,5577.97760972417
317,299,CC,2,4,46.61,16361.6030911408,7360.18988658917,288,1782.212276865,14579.3908142758,5577.97760972417
322,299,CC,2,4,53.91,18867.4119883759,7360.18988658917,288,1782.212276865,17085.1997115109,5577.97760972417
307,303,CC,2,5,1.59,11352.5835348158,9343.01213111751,288,1782.212276865,9570.3712579508,7560.79985425251
310,303,CC,2,5,10.91,12828.4880273992,9343.01213111751,288,1782.212276865,11046.2757505342,7560.79985425251
312,303,CC,2,5,21.17,13822.6696153242,9343.01213111751,288,1782.212276865,12040.4573384592,7560.79985425251
315,303,CC,2,5,38.41,15334.8716263725,9343.01213111751,288,1782.212276865,13552.6593495075,7560.79985425251
317,303,CC,2,5,55.62,16361.6030911408,9343.01213111751,288,1782.212276865,14579.3908142758,7560.79985425251
322,303,CC,2,5,59.32,18867.4119883759,9343.01213111751,288,1782.212276865,17085.1997115109,7560.79985425251
312,305,CC,2,6,11.32,13822.6696153242,10339.4587977758,288,1782.212276865,12040.4573384592,8557.24652091082
315,305,CC,2,6,26.24,15334.8716263725,10339.4587977758,288,1782.212276865,13552.6593495075,8557.24652091082
317,305,CC,2,6,44.67,16361.6030911408,10339.4587977758,288,1782.212276865,14579.3908142758,8557.24652091082
322,305,CC,2,6,49.52,18867.4119883759,10339.4587977758,288,1782.212276865,17085.1997115109,8557.24652091082
312,309,CC,2,7,2.59,13822.6696153242,12326.9586607292,288,1782.212276865,12040.4573384592,10544.7463838642
315,309,CC,2,7,20.9,15334.8716263725,12326.9586607292,288,1782.212276865,13552.6593495075,10544.7463838642
317,309,CC,2,7,32.68,16361.6030911408,12326.9586607292,288,1782.212276865,14579.3908142758,10544.7463838642
322,309,CC,2,7,57.63,18867.4119883759,12326.9586607292,288,1782.212276865,17085.1997115109,10544.7463838642
315,311,CC,2,8,6.51,15334.8716263725,13313.8487597875,288,1782.212276865,13552.6593495075,11531.6364829225
317,311,CC,2,8,22.43,16361.6030911408,13313.8487597875,288,1782.212276865,14579.3908142758,11531.6364829225
322,311,CC,2,8,59.14,18867.4119883759,13313.8487597875,288,1782.212276865,17085.1997115109,11531.6364829225
317,312,CC,2,9,2.45,16361.6030911408,13822.6696153242,288,1782.212276865,14579.3908142758,12040.4573384592
322,312,CC,2,9,17.66,18867.4119883759,13822.6696153242,288,1782.212276865,17085.1997115109,12040.4573384592
322,314,CC,2,10,7.29,18867.4119883759,14835.8879708258,288,1782.212276865,17085.1997115109,13053.6756939608
322,315,CC,2,11,2.87,18867.4119883759,15334.8716263725,288,1782.212276865,17085.1997115109,13552.6593495075
322,317,CC,2,12,0.98,18867.4119883759,16361.6030911408,288,1782.212276865,17085.1997115109,14579.3908142758
298,290,CC,3,1,2.8,6876.89293473917,2802.73848428667,288,1782.212276865,5094.68065787417,1020.52620742167
300,290,CC,3,1,4.85,7847.70219218417,2802.73848428667,288,1782.212276865,6065.48991531917,1020.52620742167
303,290,CC,3,1,7.89,9343.01213111751,2802.73848428667,288,1782.212276865,7560.79985425251,1020.52620742167
305,290,CC,3,1,8.92,10339.4587977758,2802.73848428667,288,1782.212276865,8557.24652091082,1020.52620742167
307,290,CC,3,1,12.24,11352.5835348158,2802.73848428667,288,1782.212276865,9570.3712579508,1020.52620742167
310,290,CC,3,1,14.84,12828.4880273992,2802.73848428667,288,1782.212276865,11046.2757505342,1020.52620742167
312,290,CC,3,1,12.01,13822.6696153242,2802.73848428667,288,1782.212276865,12040.4573384592,1020.52620742167
315,290,CC,3,1,15.21,15334.8716263725,2802.73848428667,288,1782.212276865,13552.6593495075,1020.52620742167
317,290,CC,3,1,13.85,16361.6030911408,2802.73848428667,288,1782.212276865,14579.3908142758,1020.52620742167
319,290,CC,3,1,9.62,17372.6732596442,2802.73848428667,288,1782.212276865,15590.4609827792,1020.52620742167
