jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
289	8	0.85	20	1.142842152	0	500	24	1.142842152	83.95310898	380	20	20	20	10	1	-999	-999
289	8.5	0.85	20	1.142842152	0	500	24	1.142842152	83.97977346	380	20	20	20	10	1	-999	-999
289	9	0.85	20	1.134005063	0	500	24	1.134005063	83.97977346	380	20	20	20	10	1	-999	-999
289	9.5	0.85	20	1.134005063	0	500	24	1.134005063	83.97977346	380	20	20	20	10	1	-999	-999
289	10	0.85	20	1.142842152	0	500	24	1.142842152	83.97977346	380	20	20	20	10	1	-999	-999
289	10.5	0.85	20	1.128234045	0	500	24	1.128234045	83.95310898	380	20	20	20	10	1	-999	-999
289	11	0.85	20	1.128234045	0	500	24	1.128234045	83.95310898	380	20	20	20	10	1	-999	-999
289	11.5	0.85	20	1.128234045	0	500	24	1.128234045	83.93977674	380	20	20	20	10	1	-999	-999
289	12	0.85	20	1.128234045	0	500	24	1.128234045	83.93977674	380	20	20	20	10	1	-999	-999
289	12.5	0.85	20	1.128234045	0	500	24	1.128234045	83.89978003	380	20	20	20	10	1	-999	-999
289	13	0.85	20	1.128234045	0	500	24	1.128234045	83.89978003	380	20	20	20	10	1	-999	-999
289	13.5	0.85	20	1.142842152	0	500	24	1.142842152	83.84645107	380	20	20	20	10	1	-999	-999
